UVXY
VXX
ARKG
ITB
SVXY
RSX
IEFA
EZU
USMV
VIXY
JPST
INDA
IGV
GOVT
ARKQ
REM
VLUE
EFV
QUAL
CBOE
ECH
PAVE
ICSH
HYD
EFAV
VUSB
MTUM
FLOT
MOAT
USHY
IDV
VNM
BBEU
IGE
EFG
FBCG
ICF
HEFA
BBAX
NOBL
BBJP
TAIL
IBMN
VSGX
IYT
AGT
NEAR
ITA
ICVT
ARKX
RYLD
PICK
ITM
CALF
CNYA
FAPR
JMST
SLVP
KNG
IAGG
EEMV
DRSK
ESGV
IFRA
CEMB
ATMP
PRNT
VOTE
IYZ
ACWV
HSRT
FMIL
TMFC
KOCT
IQDG
FGRO
IETC
BBCA
ESML
FPRO
SMIN
PAWZ
SYLD
BJUL
PTLC
DUDE
BBUS
GSST
FDEC
EPRF
OGIG
IEO
PAPR
COWZ
NURE
EDEN
BAUG
IGHG
SVAL
BDEC
FLDR
STOT
BUFD
YPS
DINT
EWUS
BBIN
XJUN
FBCV
EMHY
TDV
IBHB
ESGG
SMDV
OILK
PSMM
BSEP
OUSA
GVAL
OMFS
VIXM
PTMC
IZRL
NUSC
SHYD
GSEW
DIVB
BJAN
FYLD
UOCT
OMFL
FLV
GVI
DWLD
XMPT
VAMO
VXZ
EMGF
HYMU
FCTR
VCEB
PAUG
JPIB
NUDM
IYJ
SMMD
HEEM
DDLS
LKOR
PSEP
NULV
PBSM
DJUL
UJUN
MEAR
ADME
MAMB
PLRG
CEFS
VFVA
FSEP
JULZ
RTAI
PSMJ
FFTI
NUMG
VFMO
FJAN
DFND
FOCT
BBRE
DDWM
DFHY
BALT
OUSM
MBCC
TRTY
IGRO
UFEB
FLQL
SMMV
TSOC
FDG
TTAI
WFHY
USMF
CSM
KJUL
IBHC
TOKE
JEMA
FSMO
FLQM
MFMS
FCPI
PTEU
IBML
OEUR
BUFR
PSMC
LUXE
DFNL
FFEB
JCPB
FLHY
VFQY
NULG
ENOR
PSFF
HELX
EFNL
ISVL
REGL
UJUL
IBMO
IVDG
BNOV
FFSG
TFJL
BBSA
ROMO
RDFI
PSMG
HYDB
GTIP
FMAG
GOVZ
IVRA
IBMQ
XSHD
MLN
LYFE
GAA
BLDG
BOSS
GMOM
PJUN
VFMV
PEX
GHYG
WLDR
ADFI
IBHA
USEP
XTJL
TILT
BAPR
PFEB
PSMB
IDHD
FIBR
UNOV
VFMF
IEHS
FJUL
POCT
MOTI
OSCV
BJUN
QMAR
SMB
BFEB
IBMP
PMAR
AESR
FRDM
QCON
NUMV
PTNQ
XJH
XJR
TFIV
RSXJ
XBJL
IYLD
MSVX
PJUL
IEDI
ACIO
GSUS
PWS
TTAC
EAOR
IEME
QTAP
HEGD
FOMO
LEAD
XVV
HYIN
EUDV
FNOV
LVHI
PNOV
GOAT
DBOC
EAOA
IBHF
IVLC
PDEC
VFLQ
MSTB
PBEE
GCOW
FJUN
NOCT
PJAN
SHAG
DURA
EGIS
EFAD
DUSA
ESG
XVZ
SECT
AVDR
IEIH
PBUS
ARCM
FAUG
LQDI
TEGS
USEQ
XTAP
IGEB
WUGI
FUNL
SFHY
IAUF
QVAL
TMDV
FFHG
NAPR
QMOM
EMTL
FLBL
TAEQ
EYLD
BUYZ
IVSG
JPHY
KNGS
ICOW
HYXU
XDQQ
HYHG
NULC
FUT
FLIA
DDEC
IBHD
IBMM
KJAN
PSCJ
UJAN
FFTG
WDNA
KAPR
PMAY
STSB
XDAT
SULR
DFNV
DAUG
IVAL
ALFA
CBTG
IPFF
IEFN
QLC
MINN
NJUL
IMLP
IQM
TMAT
MRGR
UAPR
VMOT
DAPR
ESHY
FPFD
MAGA
NUEM
EWGS
BOCT
DECZ
AFIF
DFEB
IECS
TCTL
YJUN
FDEM
XSHQ
NJAN
EMDV
SPMV
VWID
ACSI
CFCV
MDEV
DJAN
DOCT
DSEP
DJUN
DMAY
GLDB
IMOM
BMAR
BOB
DEFN
DNOV
EMSH
ESCR
ESEB
EURZ
IGLD
IMFL
JMUB
PBTP
RESD
AVDG
DALT
DMAR
FDEV
FLQS
IBHG
PXUS
QDEC
STLC
WIL
ALTS
AMER
APRZ
AUGZ
BGLD
BMAY
BUFF
DBJA
DEFA
DSJA
DSOC
EAOK
EAOM
EOPS
EUCG
FAIL
FEBZ
FEDX
FMAR
FMAY
GSEE
GSID
HCRB
IBHE
JANZ
JUNZ
KWT
LIV
LSLT
MAAX
MARZ
MAYZ
MBBB
MBND
MIG
MPRO
MRSK
NVMZ
OCTZ
PBDM
PBND
PLTL
PSCW
PSCX
PSFD
PSFJ
PSFM
PSMD
PSMR
QJUN
QPFF
QTJL
REC
RESE
RODE
RODI
SEPZ
SFIG
SLT
STLG
STLV
STMB
TBJL
TFLT
THY
TSJA
UAUG
UDEC
UMAR
UMAY
VIRS
WFIG
XBAP
XDAP
XDJL
XDSQ
YDEC
YMAR
